Timestamp (s), Actor Name
188.40, dataset_images\katrina_kaif\Katrina_Kaif
188.60, dataset_images\katrina_kaif\Katrina_Kaif
188.80, dataset_images\katrina_kaif\Katrina_Kaif
189.00, dataset_images\katrina_kaif\Katrina_Kaif
189.20, dataset_images\katrina_kaif\Katrina_Kaif
189.40, dataset_images\katrina_kaif\Katrina_Kaif
189.60, dataset_images\katrina_kaif\Katrina_Kaif
189.80, dataset_images\katrina_kaif\Katrina_Kaif
190.00, dataset_images\katrina_kaif\Katrina_Kaif
190.60, dataset_images\katrina_kaif\Katrina_Kaif
190.80, dataset_images\katrina_kaif\Katrina_Kaif
191.00, dataset_images\katrina_kaif\Katrina_Kaif
191.20, dataset_images\katrina_kaif\Katrina_Kaif
191.40, dataset_images\katrina_kaif\Katrina_Kaif
191.60, dataset_images\katrina_kaif\Katrina_Kaif
191.80, dataset_images\katrina_kaif\Katrina_Kaif
192.00, dataset_images\katrina_kaif\Katrina_Kaif
192.60, dataset_images\katrina_kaif\Katrina_Kaif
192.80, dataset_images\Govinda\Govinda1
193.00, dataset_images\Govinda\Govinda1
193.20, dataset_images\Govinda\Govinda1
193.40, dataset_images\Govinda\Govinda1
193.60, dataset_images\Govinda\Govinda1
193.80, dataset_images\Govinda\Govinda1
194.20, dataset_images\Govinda\Govinda1
194.80, dataset_images\Govinda\Govinda1
195.00, dataset_images\Govinda\Govinda1
195.20, dataset_images\Govinda\Govinda1
195.40, dataset_images\Govinda\Govinda1
195.60, dataset_images\Govinda\Govinda1
196.00, dataset_images\Govinda\Govinda1
196.20, dataset_images\Govinda\Govinda1
196.60, dataset_images\Govinda\Govinda1
196.80, dataset_images\Govinda\Govinda1
197.00, dataset_images\Govinda\Govinda1
197.40, dataset_images\Govinda\Govinda1
197.80, dataset_images\Govinda\Govinda1
198.60, dataset_images\Govinda\Govinda1
198.80, dataset_images\Govinda\Govinda1
199.00, dataset_images\Govinda\Govinda1
199.20, dataset_images\Govinda\Govinda1
205.80, dataset_images\Salman_Khan\salman-khan1
209.80, dataset_images\Govinda\Govinda1
221.60, dataset_images\Govinda\Govinda1
223.20, dataset_images\Govinda\Govinda
223.60, dataset_images\Govinda\Govinda
223.80, dataset_images\Govinda\Govinda
224.00, dataset_images\Govinda\Govinda
224.20, dataset_images\Govinda\Govinda
224.40, dataset_images\Govinda\Govinda
224.60, dataset_images\Govinda\Govinda
224.80, dataset_images\Govinda\Govinda
225.00, dataset_images\Govinda\Govinda
225.20, dataset_images\Govinda\Govinda
225.40, dataset_images\Govinda\Govinda
226.20, dataset_images\Govinda\Govinda
226.40, dataset_images\Govinda\Govinda
227.00, dataset_images\Govinda\Govinda3
228.20, dataset_images\Govinda\Govinda5
228.40, dataset_images\Govinda\Govinda5
262.80, dataset_images\Govinda\Govinda1
265.20, dataset_images\Govinda\Govinda1
297.20, dataset_images\Govinda\Govinda1
303.00, dataset_images\Govinda\Govinda1
318.20, dataset_images\Govinda\Govinda1
327.20, dataset_images\Govinda\Govinda1
338.60, dataset_images\Govinda\Govinda1
339.40, dataset_images\Govinda\Govinda1
340.00, dataset_images\Govinda\Govinda1
340.20, dataset_images\Govinda\Govinda1
341.40, dataset_images\Salman_Khan\salman-khan1
341.60, dataset_images\Salman_Khan\salman-khan1
341.80, dataset_images\Salman_Khan\salman-khan1
